R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Womens Flyweight_rank,R_Womens Featherweight_rank,R_Womens Strawweight_rank,R_Womens Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Womens Flyweight_rank,B_Womens Featherweight_rank,B_Womens Strawweight_rank,B_Womens Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,fight_id
Dennis Siver,Charles Rosa,-290,260,34.48275862,260,10/4/2014,"Stockholm, Sweden", Sweden,Red,FALSE,Featherweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,175.26,175.26,145,2,0,0,39.94117647,0.337058824,0.176470588,0.588235294,0.273529412,4,7,39,0,0,0,5,3,2,0,10,Orthodox,167.64,177.8,145,35,28,2,0,-4,-10,7,-39,0,-3,-2,7.62,-2.54,7,-39.94117647,-0.176470588,-0.588235294,0,1,,11,,,,,,,,,,11,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,179,750,,,,,1591
Cathal Pendred,Gasan Umalatov,-140,130,71.42857143,130,10/4/2014,"Stockholm, Sweden", Sweden,Red,FALSE,Welterweight,MALE,3,0,1,0,29,0.41,0,1.5,0.195,1,1,6,0,0,0,1,0,0,0,1,Orthodox,180.34,180.34,170,0,1,0,11,0.27,1,3,0.6,1,0,2,0,0,0,0,0,1,0,1,Orthodox,185.42,190.5,170,27,32,0,0,0,0,-1,4,0,0,-1,-5.08,-10.16,-5,18,-1,-1.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,160,266,,,,,1590
Tor Troeng,Krzysztof Jotko,130,-140,130,71.42857143,10/4/2014,"Stockholm, Sweden", Sweden,Blue,FALSE,Middleweight,MALE,3,1,0,0,16,0.48,0,0.5,0.125,1,1,5,0,0,0,1,0,0,0,1,Southpaw,185.42,195.58,185,2,0,0,13.66666667,0.543333333,0.333333333,0.666666667,0.4,1,2,7,0,0,0,0,0,1,0,1,Orthodox,187.96,195.58,185,31,25,1,0,0,0,1,-2,0,0,-1,-2.54,0,6,2.33333333,-0.333333333,-0.166666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,201,185,,,,,1589
Mairbek Taisumov,Marcin Bandel,-150,140,66.66666667,140,10/4/2014,"Stockholm, Sweden", Sweden,Red,FALSE,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,1,0,0,29.5,0.325,0,2.5,0.355,1,1,6,0,0,0,1,0,0,0,1,Orthodox,175.26,185.42,155,26,24,1,0,-1,-1,1,-6,0,0,0,2.54,-7.62,2,-29.5,0,-2.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,1:01,61,265,842,,,,,1588
Zubaira Tukhugov,Ernest Chavez,-260,240,38.46153846,240,10/4/2014,"Stockholm, Sweden", Sweden,Red,FALSE,Featherweight,MALE,3,1,0,0,41,0.415,0,1,0.5,1,1,6,0,0,1,0,0,0,0,1,Orthodox,172.72,177.8,145,0,1,0,35,0.36,0,3,0.5,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,172.72,145,23,31,-1,-1,0,0,-1,3,0,0,0,0,5.08,-8,6,0,-2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,4:21,261,155,320,,,,,1587
Demetrious Johnson,Chris Cariaso,-1450,1150,6.896551724,1150,9/27/2014,"Las Vegas, Nevada, USA", USA,Red,TRUE,Flyweight,MALE,5,0,3,0,52.6,0.45,0.6,1,0.391,3,3,29,0,0,2,4,1,0,0,7,Southpaw,160.02,160.02,125,0,6,0,69,0.518,0.3,4,0.39,6,2,38,6,0,1,5,1,1,0,8,Orthodox,160.02,167.64,125,28,33,0,-3,-3,-1,-1,-9,-6,0,-1,0,-7.62,-5,-16.4,0.3,-3,0,1,8,0,,,,,,,,,,,,0,4,,,,,,,,,,,,8,,Red,SUB,Kimura,2,2:29,449,120,1500,220,2000,260,1500,1586
Donald Cerrone,Eddie Alvarez,-135,125,74.07407407,125,9/27/2014,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,175.26,155,0,4,0,40.5,0.475,0.357142857,0.785714286,0.296428571,4,3,27,0,0,0,3,4,4,0,11,Orthodox,185.42,185.42,155,31,30,0,-4,-4,-11,3,-27,0,-4,-4,-10.16,-10.16,1,-40.5,-0.357142857,-0.785714286,0,1,14,5,,,,,,,,,5,,,,,,,,,,,,,14,,,,,Red,U-DEC,,3,5:00,900,350,300,400,750,350,360,1585
Dustin Poirier,Conor McGregor,240,-260,240,38.46153846,9/27/2014,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Featherweight,MALE,3,0,3,0,30.66666667,0.433333333,0,1.666666667,0.6,3,0,5,0,0,0,1,2,0,0,3,Southpaw,175.26,187.96,155,0,3,0,47.4,0.474,0.8,1.1,0.243,4,2,23,0,0,0,3,2,3,0,8,Southpaw,175.26,182.88,155,25,26,0,0,-1,-5,2,-18,0,0,-3,0,5.08,-1,-16.73333333,-0.8,0.566666667,0,1,9,5,,,,,,,,,,5,,,,,,,,,,,,,9,,,,Red,KO/TKO,Punch,1,1:46,106,550,250,650,1000,850,100,1584
Tim Kennedy,Yoel Romero,-133,123,75.18796992,123,9/27/2014,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Middleweight,MALE,3,0,4,0,38.25,0.6875,0,1.75,0.145,4,0,10,0,0,0,1,3,0,0,4,Southpaw,182.88,185.42,185,0,3,0,39.33333333,0.49,0,2.333333333,0.316666667,3,0,9,0,0,0,2,1,0,0,3,Orthodox,180.34,187.96,185,35,37,0,1,1,1,0,1,0,2,0,2.54,-2.54,-2,-1.08333333,0,-0.583333333,0,1,10,6,,,,,,,6,,,,,,,,,,,,,10,,,,,,,Red,KO/TKO,Punch,3,0:58,658,250,240,450,1800,700,250,1583
Cat Zingano,Amanda Nunes,-215,195,46.51162791,195,9/27/2014,"Las Vegas, Nevada, USA", USA,Red,FALSE,Women's Bantamweight,FEMALE,3,0,2,0,12,0.43,0,1.5,0.495,2,0,2,0,0,0,0,2,0,0,2,Orthodox,172.72,175.26,145,0,1,0,35,0.83,1,1,1,1,0,3,0,0,0,0,1,0,0,1,Southpaw,167.64,172.72,145,32,26,0,1,1,1,0,-1,0,1,0,5.08,2.54,6,-23,-1,0.5,0,1,8,1,,,,1,,,,,,,,,,,,,8,,,,,,,,,,Red,KO/TKO,Punches,3,1:21,681,140,450,475,1500,300,450,1582
Dominick Cruz,Takeya Mizugaki,-560,475,17.85714286,475,9/27/2014,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,3,0,5,0,56.77777778,0.396666667,0.111111111,1.777777778,0.474444444,5,2,26,0,0,3,3,1,0,0,7,Orthodox,170.18,172.72,135,0,2,0,75,0.435,0.5,7,0.41,2,0,10,2,0,0,2,0,0,0,2,Orthodox,172.72,172.72,135,29,30,0,3,3,5,-2,16,-2,1,0,-2.54,0,-1,-18.22222222,-0.388888889,-5.222222222,0,1,5,10,,,,,,,,,,,10,,,,,,,,,,,,,5,,,Blue,KO/TKO,Punches,1,1:01,61,-170,600,900,1700,400,975,1581
Jorge Masvidal,James Krause,-320,290,31.25,290,9/27/2014,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,3,0,1,0,46.66666667,0.426666667,0.333333333,0.333333333,0.166666667,1,1,5,0,0,0,0,1,1,0,2,Orthodox,187.96,185.42,170,0,2,0,46.4,0.534,0.8,2,0.55,2,1,14,0,0,0,3,0,1,0,4,Orthodox,180.34,187.96,170,29,28,0,-1,-1,-2,0,-9,0,1,0,7.62,-2.54,1,0.26666667,-0.466666667,-1.666666667,0,1,,12,,,,,,,,,12,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,-101,419,570,1200,363,2050,1580
Patrick Cote,Stephen Thompson,340,-380,340,26.31578947,9/27/2014,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Welterweight,MALE,3,0,3,0,43,0.52,0,0.8,0.3,3,1,10,0,0,0,1,3,0,0,4,Orthodox,182.88,190.5,170,0,3,0,26.4,0.438666667,0.133333333,0.466666667,0.144,4,8,36,2,0,1,3,2,0,0,7,Orthodox,180.34,180.34,170,34,31,0,0,-1,-3,7,-26,-2,1,0,2.54,10.16,3,16.6,-0.133333333,0.333333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,650,166,1350,1435,900,130,1579
John Howard,Brian Ebersole,-240,220,41.66666667,220,9/27/2014,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Welterweight,MALE,3,2,0,0,31.66666667,0.55,0.166666667,1.5,0.186666667,4,2,16,0,0,1,2,1,0,0,4,Southpaw,182.88,185.42,170,1,0,0,24.9,0.548,0.5,2.6,0.485,4,4,28,0,0,3,1,2,0,0,6,Orthodox,170.18,180.34,170,31,33,-1,0,0,-2,2,-12,0,-1,0,12.7,5.08,-2,6.76666667,-0.333333333,-1.1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,100,315,600,1030,435,1655,1578
Jon Tuck,Kevin Lee,220,-240,220,41.66666667,9/27/2014,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Lightweight,MALE,3,0,1,0,44,0.355,1,2.5,0.225,1,1,6,0,0,1,0,0,0,0,1,Orthodox,175.26,195.58,170,0,1,0,49.66666667,0.45,0.666666667,1,0.2,1,1,9,0,0,0,1,1,0,0,2,Orthodox,180.34,185.42,155,30,22,0,0,0,-1,0,-3,0,-1,0,-5.08,10.16,8,-5.66666667,0.333333333,1.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,515,-110,670,585,700,535,1577
Manvel Gamburyan,Cody Gibson,145,-155,145,64.51612903,9/27/2014,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,3,0,1,0,10.5,0.35,0.5,2,0.33,1,1,4,0,0,0,0,1,0,0,1,Orthodox,177.8,180.34,135,2,0,0,19.63636364,0.403636364,0.454545455,2.090909091,0.36,2,7,26,1,0,0,2,0,2,0,4,Orthodox,165.1,170.18,135,33,27,2,1,-1,-3,6,-22,-1,1,-2,12.7,10.16,6,-9.13636364,0.045454545,-0.090909091,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,2,4:56,596,330,118,680,1350,900,404,1576
Mark Hunt,Roy Nelson,-120,110,83.33333333,110,9/20/2014,"Saitama, Japan", Japan,Red,FALSE,Heavyweight,MALE,5,0,1,0,18.5,0.388333333,0.083333333,0.25,0.125,3,5,24,1,0,0,0,7,0,0,7,Orthodox,182.88,182.88,263,2,0,0,36,0.445714286,0.142857143,0.857142857,0.342857143,4,3,18,0,0,0,1,3,0,0,4,Orthodox,177.8,182.88,265,40,38,2,1,-1,3,-2,6,1,4,0,5.08,0,2,-17.5,-0.05952381,-0.607142857,0,1,8,6,,,,,6,,,,,,,,,,,,,8,,,,,,,,,Red,KO/TKO,Punch,2,3:00,480,335,528,2200,615,180,180,1575
Myles Jury,Takanori Gomi,-605,505,16.52892562,505,9/20/2014,"Saitama, Japan", Japan,Red,FALSE,Lightweight,MALE,3,0,1,0,44.5,0.33125,0,0.125,0.0625,2,4,18,0,0,1,1,2,0,0,4,Southpaw,170.18,177.8,155,0,5,0,28.2,0.316,0.4,2.4,0.632,5,0,12,0,0,1,2,1,1,0,5,Orthodox,177.8,185.42,145,25,35,0,-4,-3,-1,-4,6,0,1,-1,-7.62,-7.62,-10,16.3,-0.4,-2.275,0,1,,9,,,,,,,,,9,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punch,1,1:32,92,116,855,,,,,1574
Yoshihiro Akiyama,Amir Sadollah,-155,145,64.51612903,145,9/20/2014,"Saitama, Japan", Japan,Red,FALSE,Welterweight,MALE,3,1,0,0,57.9,0.421,0.3,0.5,0.233,2,4,25,1,0,1,3,1,1,0,6,Orthodox,177.8,187.96,170,4,0,0,33.2,0.294,0.2,2,0.45,1,4,13,0,0,1,0,0,0,0,1,Orthodox,177.8,185.42,170,39,34,3,0,1,5,0,12,1,1,1,0,2.54,5,24.7,0.1,-1.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,175,185,,,,,1573
Miesha Tate,Rin Nakai,-310,280,32.25806452,280,9/20/2014,"Saitama, Japan", Japan,Red,FALSE,Women's Bantamweight,FEMALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,154.94,152.4,135,0,1,0,24.66666667,0.496666667,1.666666667,1.666666667,0.296666667,1,2,9,1,0,0,1,0,0,0,1,Orthodox,167.64,165.1,135,28,27,0,-1,-1,-1,2,-9,-1,0,0,-12.7,-12.7,1,-24.66666667,-1.666666667,-1.666666667,0,1,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,110,350,,,,,1572
Kiichi Kunimoto,Richard Walsh,-235,215,42.55319149,215,9/20/2014,"Saitama, Japan", Japan,Red,FALSE,Welterweight,MALE,3,0,1,0,71,0.58,0,5,0.55,1,0,3,0,0,0,1,0,0,0,1,Orthodox,182.88,185.42,170,0,2,0,8.5,0.51,0.5,0.5,0.165,2,0,2,0,0,0,0,0,1,0,2,Orthodox,177.8,180.34,170,33,25,0,-1,-1,-1,0,1,0,0,-1,5.08,5.08,8,62.5,-0.5,4.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,207,275,,,,,1571
Kyoji Horiguchi,Jon Delos Reyes,-660,540,15.15151515,540,9/20/2014,"Saitama, Japan", Japan,Red,FALSE,Flyweight,MALE,3,1,0,0,9,0.31,0,1,1,0,1,1,0,0,0,0,0,0,0,0,Orthodox,167.64,170.18,125,0,2,0,47.5,0.52,0,1.5,0.665,2,0,5,0,0,0,1,1,0,0,2,Orthodox,165.1,167.64,125,23,27,-1,-2,-2,-2,-1,-4,0,-1,0,2.54,2.54,-4,-38.5,0,-0.5,0,1,,14,,,,,,,,,,,,14,,,,,,,,,,,,,,,Red,KO/TKO,Punches,1,3:48,228,144,845,,,,,1570
Alex Caceres,Masanori Kanehara,-295,265,33.89830508,265,9/20/2014,"Saitama, Japan", Japan,Blue,FALSE,Bantamweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,1,0,0,45.4,0.519,1.2,0.2,0.2,2,5,26,0,0,2,1,0,2,0,5,Southpaw,177.8,185.42,145,26,31,1,0,-2,-5,5,-26,0,0,-2,-7.62,-15.24,-5,-45.4,-1.2,-0.2,0,1,,10,,,,,,,,,,,10,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,206,385,,,,,1569
Katsunori Kikuno,Sam Sicilia,-145,135,68.96551724,135,9/20/2014,"Saitama, Japan", Japan,Red,FALSE,Featherweight,MALE,3,0,1,0,26.66666667,0.421666667,0.333333333,1.333333333,0.46,1,3,13,0,0,0,1,2,0,0,3,Orthodox,172.72,170.18,145,1,0,0,22.5,0.485,0,1.5,0.375,1,1,4,0,0,0,1,0,0,0,1,Orthodox,172.72,167.64,145,32,28,1,1,0,2,-2,9,0,2,0,0,2.54,4,4.16666667,0.333333333,-0.166666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2,1:38,398,229,505,,,,,1568
Hyun Gyu Lim,Takenori Sato,-660,540,15.15151515,540,9/20/2014,"Saitama, Japan", Japan,Red,FALSE,Welterweight,MALE,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Southpaw,177.8,180.34,170,1,0,0,70,0.413333333,0.333333333,0.333333333,0.333333333,2,1,8,0,0,0,0,2,0,0,2,Orthodox,190.5,195.58,170,29,29,0,0,-2,-2,0,-7,0,-2,0,-12.7,-15.24,0,-70,-0.333333333,-0.333333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbows,1,1:18,78,450,1395,,,,,1567
Michinori Tanaka,Kyung Ho Kang,-150,140,66.66666667,140,9/20/2014,"Saitama, Japan", Japan,Blue,FALSE,Bantamweight,MALE,3,0,1,0,33,0.436666667,1.333333333,3.333333333,0.85,1,2,9,0,0,0,0,0,1,0,1,Orthodox,175.26,185.42,135,0,1,0,21,0.56,1,3,0.75,1,0,3,0,0,0,1,0,0,0,1,Orthodox,165.1,170.18,135,23,27,0,0,0,0,-2,6,0,0,1,10.16,15.24,-4,12,0.333333333,0.333333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,139,200,,,,,1566
Kazuki Tokudome,Johnny Case,-130,120,76.92307692,120,9/20/2014,"Saitama, Japan", Japan,Blue,FALSE,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,155,2,0,0,35.66666667,0.436666667,0,2,0.54,1,2,9,0,0,0,1,0,0,0,1,Southpaw,180.34,185.42,155,27,25,2,0,-1,-1,2,-9,0,0,0,-2.54,-2.54,2,-35.66666667,0,-2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,2,2:34,454,120,374,,,,,1565
Maximo Blanco,Dan Hooker,-135,125,74.07407407,125,9/20/2014,"Saitama, Japan", Japan,Red,FALSE,Featherweight,MALE,3,0,1,0,12,0.66,0,0,0,1,0,1,0,0,0,0,1,0,0,1,Switch,182.88,190.5,155,0,1,0,35.8,0.44,0.2,1.4,0.5,1,3,13,0,0,0,2,0,0,0,2,Orthodox,172.72,180.34,145,30,24,0,0,0,-1,3,-12,0,1,0,10.16,10.16,6,-23.8,-0.2,-1.4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,175,530,,,,,1564
Antonio Silva,Andrei Arlovski,-430,380,23.25581395,380,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Blue,FALSE,Heavyweight,MALE,5,0,4,0,20.2,0.436666667,0.333333333,0.133333333,0.133333333,6,4,29,5,0,1,1,7,2,0,11,Orthodox,190.5,195.58,240,2,0,0,27,0.506,0,0,0,2,3,11,1,0,0,0,2,0,0,2,Orthodox,193.04,203.2,264,34,35,2,4,4,9,-1,18,4,5,2,-2.54,-7.62,-1,-6.8,0.333333333,0.133333333,0,1,14,4,,,,,4,,,,,,,,,,,,,14,,,,,,,,,Red,KO/TKO,Punch,1,2:59,179,336,625,850,2200,-131,525,1563
Gleison Tibau,Piotr Hallmann,-235,215,42.55319149,215,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,FALSE,Lightweight,MALE,3,0,1,0,54.66666667,0.446666667,0.666666667,3,0.563333333,1,1,8,0,0,0,0,0,2,0,2,Orthodox,175.26,180.34,155,0,1,0,22.63636364,0.357272727,0.727272727,3.409090909,0.544090909,3,8,55,0,0,3,6,1,4,0,14,Southpaw,177.8,180.34,155,30,27,0,0,-2,-12,7,-47,0,-1,-2,-2.54,0,3,32.03030303,-0.06060606,-0.409090909,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,130,325,,,,,1562
Leonardo Santos,Efrain Escudero,-210,190,47.61904762,190,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,FALSE,Lightweight,MALE,3,3,0,0,29,0.367142857,1,1.142857143,0.267142857,2,4,19,1,0,0,2,1,0,0,3,Orthodox,175.26,177.8,155,1,0,0,24,0.41,0.5,0.5,0.07,1,1,5,1,0,0,0,0,1,0,1,Orthodox,182.88,190.5,155,34,28,-2,0,1,2,-3,14,0,1,-1,-7.62,-12.7,6,5,0.5,0.642857143,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,167,240,,,,,1561
Santiago Ponzinibbio,Wendell Oliveira,-105,-105,95.23809524,95.23809524,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,FALSE,Welterweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,1,0,0,25,0.3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,27,31,1,0,0,0,1,-3,0,0,0,-5.08,-2.54,-4,-25,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,211,,,,,,1560
Iuri Alcantara,Russell Doane,-315,285,31.74603175,285,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,FALSE,Bantamweight,MALE,3,0,2,0,33.5,0.415,0.5,1.5,0.165,2,0,5,0,0,1,0,0,1,0,2,Orthodox,170.18,177.8,135,0,2,0,24.375,0.47125,0.625,1.25,0.4575,2,3,18,0,0,1,2,2,0,0,5,Southpaw,175.26,180.34,135,34,28,0,0,0,-3,3,-13,0,-2,1,-5.08,-2.54,6,9.125,-0.125,0.25,0,1,,7,,,,,,,,,,,7,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,219,385,,,,,1559
Jessica Andrade,Larissa Pacheco,-110,100,90.90909091,100,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,FALSE,Women's Bantamweight,FEMALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,135,0,2,0,94,0.553333333,0.333333333,1.666666667,0.623333333,2,1,8,0,0,1,1,0,0,0,2,Orthodox,154.94,157.48,115,22,20,0,-2,-2,-2,1,-8,0,0,0,15.24,17.78,2,-94,-0.333333333,-1.666666667,0,1,,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,Red,SUB,Guillotine Choke,1,4:33,273,163,253,,,,,1558
Godofredo Pepey,Dashon Johnson,-130,120,76.92307692,120,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,FALSE,Featherweight,MALE,3,1,0,0,11,0.73,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,145,0,1,0,16,0.392,0.2,0.2,0.1,1,3,9,1,0,1,0,1,0,0,2,Orthodox,170.18,185.42,145,27,26,-1,-1,-1,-2,2,-6,-1,-1,0,0,-7.62,1,-5,0.8,-0.2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,1,4:29,269,253,721,,,,,1557
Igor Araujo,George Sullivan,-130,120,76.92307692,120,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Blue,FALSE,Welterweight,MALE,3,0,1,0,61,0.34,0,2,0.14,1,0,3,0,0,0,1,0,0,0,1,Orthodox,182.88,185.42,170,0,2,0,16.5,0.365,1,0.5,0.08,2,0,6,0,0,0,2,0,0,0,2,Orthodox,185.42,195.58,170,33,33,0,-1,-1,-1,0,-3,0,0,0,-2.54,-10.16,0,44.5,-1,1.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,2,2:31,451,170,220,,,,,1556
Francisco Trinaldo,Leandro Silva,-185,170,54.05405405,170,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,FALSE,Lightweight,MALE,3,1,0,0,50,0.57,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,155,1,0,0,24.71428571,0.538571429,0.714285714,0.714285714,0.271428571,2,3,15,0,0,1,0,1,2,0,4,Southpaw,175.26,177.8,155,36,28,0,0,-2,-4,2,-12,0,-1,-2,0,5.08,8,25.28571429,-0.714285714,-0.714285714,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,140,336,,850,,-131,1555
Paulo Thiago,Sean Spencer,215,-235,215,42.55319149,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Blue,FALSE,Welterweight,MALE,3,1,0,0,68.5,0.3075,0,0,0,2,2,12,0,0,1,1,0,0,0,2,Southpaw,177.8,190.5,170,2,0,0,18.16666667,0.345,1,1.166666667,0.256666667,2,7,29,0,0,0,3,1,1,0,5,Orthodox,180.34,185.42,170,33,27,1,0,0,-3,5,-17,0,-1,-1,-2.54,5.08,6,50.33333333,-1,-1.166666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,398,110,,,,,1554
Rani Yahya,Johnny Bedford,115,-125,115,80,9/13/2014,"Brasilia, Distrito Federal, Brazil", Brazil,Red,FALSE,Bantamweight,MALE,3,3,0,0,35.4,0.562,0,1,0.332,2,3,10,0,0,0,0,2,0,0,2,Orthodox,177.8,180.34,135,2,0,0,14.71428571,0.398571429,1.285714286,1.857142857,0.302857143,3,3,17,0,0,0,3,0,1,0,4,Orthodox,167.64,170.18,135,30,31,-1,0,-1,-2,0,-7,0,2,-1,10.16,10.16,-1,20.68571429,-1.285714286,-0.857142857,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Kimura,2,2:04,424,381,336,,,,,1553
Jacare Souza,Gegard Mousasi,-185,170,54.05405405,170,9/5/2014,"Ledyard, Connecticut, USA", USA,Red,FALSE,Middleweight,MALE,5,0,1,0,44.66666667,0.493333333,0.666666667,0,0,1,1,9,0,0,0,1,0,1,0,2,Orthodox,187.96,193.04,185,0,3,0,17.33333333,0.473333333,1.333333333,1,0.276666667,3,0,5,0,0,0,1,1,1,0,3,Orthodox,185.42,182.88,185,34,29,0,-2,-2,-1,-1,4,0,-1,0,2.54,10.16,5,27.33333334,-0.666666666,-1,0,1,7,,,,,,,,,,,,,,,,,,,,,7,,,,,,,Blue,SUB,Guillotine Choke,3,4:30,870,165,430,200,2000,850,475,1552
